FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202202,2,0,45421,995493,"I","02/02/2022 00:00:00",,"","Vehicle/Towed Trailer",202202
202202,2,0,45422,995493,"I","02/02/2022 00:00:00",,"","Vehicle/Towed Trailer",202202
202202,2,0,45423,995500,"I","02/02/2022 00:00:00",18,"M","Outside/Open Areas",202202
202202,2,0,45424,995524,"I","02/02/2022 00:00:00",35,"M","Vehicle/Towed Trailer",202202
202202,17,0,46159,1000649,"D","02/17/2022 00:00:00",29,"F","Boating",202202
202202,18,0,46160,1000649,"D","02/18/2022 00:00:00",,"F","Boating",202202
202202,18,0,46161,1000649,"D","02/18/2022 00:00:00",,"M","Boating",202202
202202,24,0,46162,1000649,"D","02/24/2022 00:00:00",,"","Boating",202202
202202,22,0,46163,1000649,"D","02/22/2022 00:00:00",,"","Boating",202202
202202,17,0,46164,1000649,"D","02/17/2022 00:00:00",,"","Boating",202202
202202,25,0,45892,1000737,"I","02/25/2022 00:00:00",44,"M","Vehicle/Towed Trailer",202202
202202,2,0,45953,1000826,"I","02/02/2022 00:00:00",45,"F","Vehicle/Towed Trailer",202202
202202,25,0,45996,1001093,"I","02/25/2022 00:00:00",,"F","Vehicle/Towed Trailer",202202
202202,25,0,45997,1001093,"I","02/25/2022 00:00:00",,"F","Vehicle/Towed Trailer",202202
202202,25,0,45907,1001182,"I","02/25/2022 00:00:00",26,"F","Vehicle/Towed Trailer",202202
202202,25,0,45908,1001182,"I","02/25/2022 00:00:00",21,"M","Vehicle/Towed Trailer",202202
202202,25,0,45909,1001182,"I","02/25/2022 00:00:00",57,"F","Vehicle/Towed Trailer",202202
202202,11,0,45995,1001337,"D","02/11/2022 00:00:00",21,"M","In Water",202202
202202,23,0,45912,1002136,"I","02/23/2022 00:00:00",1,"F","Vehicle/Towed Trailer",202202
202202,19,0,45945,1003124,"D","02/19/2022 00:00:00",,"","Outside/Open Areas",202202
202202,2,0,46184,1007091,"I","02/02/2022 00:00:00",47,"M","Mobile/Trailer Home",202202
202202,3,0,46108,1007148,"D","02/03/2022 00:00:00",71,"F","Mobile/Trailer Home",202202
202202,25,0,46087,1007736,"D","02/25/2022 00:00:00",27,"M","Outside/Open Areas",202202
202202,4,0,46185,1008006,"I","02/04/2022 00:00:00",,"F","Permanent Home",202202
202202,3,0,46187,1008262,"I","02/03/2022 00:00:00",,"M","Vehicle/Towed Trailer",202202
202202,24,0,46100,1008482,"I","02/24/2022 00:00:00",67,"M","Outside/Open Areas",202202
202202,3,0,46107,1008637,"D","02/03/2022 00:00:00",94,"F","Permanent Home",202202
202202,20,0,46109,1008921,"D","02/20/2022 00:00:00",12,"M","In Water",202202
202202,21,0,46110,1008922,"D","02/21/2022 00:00:00",40,"M","In Water",202202
202202,21,0,46112,1009008,"I","02/21/2022 00:00:00",63,"F","Vehicle/Towed Trailer",202202
202202,3,0,46174,1009174,"I","02/03/2022 00:00:00",53,"M","Vehicle/Towed Trailer",202202
202202,24,0,46209,1009458,"D","02/24/2022 00:00:00",19,"M","Vehicle/Towed Trailer",202202
202202,7,0,46152,1009627,"I","02/07/2022 00:00:00",47,"M","Vehicle/Towed Trailer",202202
202202,17,0,46151,1009925,"I","02/17/2022 00:00:00",,"M","Vehicle/Towed Trailer",202202
202202,23,0,46141,1009991,"I","02/23/2022 00:00:00",29,"F","Vehicle/Towed Trailer",202202
202202,3,0,46167,1010715,"I","02/03/2022 00:00:00",,"F","Vehicle/Towed Trailer",202202
202201,6,0,45384,994392,"D","01/06/2022 00:00:00",,"M","Other",202201
202201,31,0,46010,1005005,"I","01/31/2022 00:00:00",54,"M","Vehicle/Towed Trailer",202201
202201,6,0,46011,1005540,"D","01/06/2022 00:00:00",72,"M","Vehicle/Towed Trailer",202201
202201,7,0,46012,1005540,"D","01/07/2022 00:00:00",,"M","Vehicle/Towed Trailer",202201
202207,9,0,46391,1027324,"D","07/09/2022 00:00:00",30,"M","In Water",202207
202207,16,0,46403,1029106,"D","07/16/2022 00:00:00",25,"M","Boating",202207
202207,15,0,46497,1029111,"D","07/15/2022 00:00:00",37,"F","Camping",202207
202207,15,0,46498,1029111,"D","07/15/2022 00:00:00",12,"F","Camping",202207
202207,12,0,46408,1029379,"D","07/12/2022 00:00:00",5,"M","In Water",202207
202207,8,0,46415,1029781,"D","07/08/2022 00:00:00",14,"M","In Water",202207
202207,20,0,46420,1030148,"D","07/20/2022 00:00:00",41,"M","Outside/Open Areas",202207
202207,21,0,46447,1030607,"D","07/21/2022 00:00:00",62,"F","Camping",202207
202207,21,0,46448,1030607,"D","07/21/2022 00:00:00",84,"F","Camping",202207
202207,21,0,46449,1030607,"D","07/21/2022 00:00:00",62,"M","Camping",202207
202207,8,0,46473,1032322,"D","07/08/2022 00:00:00",,"M","In Water",202207
202207,17,0,46479,1033449,"D","07/17/2022 00:00:00",,"M","Outside/Open Areas",202207
202207,19,0,46492,1033920,"D","07/19/2022 00:00:00",27,"M","Under Tree",202207
202207,2,0,46954,1034220,"D","07/02/2022 00:00:00",37,"F","In Water",202207
202207,31,0,46499,1034510,"D","07/31/2022 00:00:00",30,"M","In Water",202207
202207,15,0,46537,1038034,"D","07/15/2022 00:00:00",,"","Vehicle/Towed Trailer",202207
202207,12,0,46531,1038373,"D","07/12/2022 00:00:00",,"M","Camping",202207
202207,10,0,46538,1039202,"D","07/10/2022 00:00:00",72,"M","In Water",202207
202207,12,0,46539,1039205,"D","07/12/2022 00:00:00",9,"F","In Water",202207
202207,6,0,46600,1039306,"D","07/06/2022 00:00:00",38,"M","Outside/Open Areas",202207
202207,7,0,46543,1039366,"D","07/07/2022 00:00:00",52,"M","Permanent Home",202207
202207,7,0,46544,1039366,"D","07/07/2022 00:00:00",55,"F","Permanent Home",202207
202207,31,0,46673,1043007,"D","07/31/2022 00:00:00",85,"M","Mobile/Trailer Home",202207
202207,31,0,46674,1043007,"D","07/31/2022 00:00:00",85,"F","Mobile/Trailer Home",202207
202207,12,0,46683,1044181,"D","07/12/2022 00:00:00",56,"M","Vehicle/Towed Trailer",202207
202201,3,0,44842,991466,"I","01/03/2022 00:00:00",,"M","Vehicle/Towed Trailer",202201
