YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202303,176739,1078367,4,.62,"NW","IONA",38.5569,-87.4773,3833414,8728638
202303,176742,1074014,1,2.07,"N","ABERNATHY ARPT",35.18,-87.05,3510800,873000
202303,176742,1074015,1,1.49,"SSW","PROSPECT",35.01,-87.01,35600,87600
202303,176742,1074016,1,1.67,"W","NASHVILLE",36.17,-86.81,3610200,8648600
202303,176742,1074017,1,.45,"ENE","GOODLETTSVILLE",36.322,-86.7123,3619320,8642738
202303,176742,1074018,1,2.19,"SSW","MILLERSVILLE",36.3394,-86.71,3620364,8642600
202303,176742,1074019,1,0,"N","GOODLETTSVILLE",36.32,-86.72,3619200,8643200
202303,176742,1074020,1,3.41,"SSW","CORNERSVILLE",35.3231,-86.8688,3519386,8652128
202303,176742,1074021,1,.89,"NW","JEFFERSON",35.99,-86.48,3559400,8628800
202303,176742,1074022,1,.56,"W","IVY BLUFF",35.67,-86.06,3540200,863600
202303,176742,1074023,1,.56,"E","MONTEREY",36.15,-85.26,369000,8515600
202303,176742,1074024,1,2.11,"N","GUM SPGS",35.2305,-87.2981,3513830,8717886
202303,176772,1074046,1,.69,"S","HELENA",34.27,-81.63,3416200,8137800
202303,176772,1074047,1,1.08,"SSE","HELENA",34.2649,-81.6251,3415894,8137506
202303,176772,1074048,1,0,"N","POMARIA",34.27,-81.42,3416200,8125200
202303,176772,1074049,1,2.46,"SSW","MONTGOMERY",34.1001,-81.1534,346006,819204
202303,176772,1074050,1,.93,"ESE","BOUKNIGHT",33.7726,-81.8065,3346356,8148390
202303,176772,1074051,1,2.85,"W","PROVIDENCE",34.0199,-81.3197,341194,8119182
202303,176772,1074052,1,1.42,"N","(CAE)COLUMBIA METRO",33.9503,-81.1239,3357018,817434
202303,176772,1074054,1,2.27,"SE","HILTON",34.1078,-81.2708,346468,8116248
202303,176772,1074055,1,0,"N","(MMT)MC ENTIRE ANG",33.92,-80.8,3355200,8048000
202303,176772,1074056,1,0,"N","(CAE)COLUMBIA METRO",33.93,-81.12,3355800,817200
202303,176781,1074089,1,7.78,"SSW","MATAGORDA",28.5911,-95.9826,2835466,9558956
202303,176781,1074090,1,11.39,"SW","BUOY 42035",29.13,-94.55,297800,9433000
202303,176783,1074107,1,1.43,"W","LOCKINGTON",40.2021,-84.257,4012126,8415420
202303,176783,1074107,2,.31,"NW","LOCKINGTON",40.2033,-84.2341,4012198,8414046
202303,176783,1074107,3,1.24,"NW","LOCKINGTON",40.2143,-84.2441,4012858,8414646
202303,176783,1074107,4,1.9,"WNW","LOCKINGTON",40.214,-84.2609,4012840,8415654
202303,176783,1074108,1,2.07,"SW","NEW HAMPSHIRE",40.5269,-83.9752,4031614,8358512
202303,176783,1074108,2,1.05,"WSW","NEW KNOXVILLE",40.5156,-84.3391,4030936,8420346
202303,176783,1074108,3,2.45,"NW","GLYNWOOD",40.6085,-84.3478,4036510,8420868
202303,176783,1074108,4,2.34,"WSW","WAYNESFIELD",40.5862,-84.0207,4035172,841242
202303,176783,1074109,1,1.05,"W","PHILOTHEA",40.45,-84.67,4027000,8440200
202303,176783,1074109,2,.83,"WSW","PHILOTHEA",40.4473,-84.6655,4026838,8439930
202303,176783,1074109,3,.67,"WNW","PHILOTHEA",40.4532,-84.6621,4027192,8439726
202303,176783,1074109,4,1.05,"WNW","PHILOTHEA",40.4531,-84.6695,4027186,8440170
202303,176783,1074110,1,3.15,"W","CELINA",40.55,-84.63,4033000,8437800
202303,176783,1074110,2,3.19,"W","CELINA",40.5552,-84.6304,4033312,8437824
202303,176783,1074110,3,2.93,"W","CELINA",40.555,-84.6253,4033300,8437518
202303,176783,1074110,4,2.86,"W","CELINA",40.5511,-84.6246,4033066,8437476
202303,176783,1074111,1,2.61,"NW","SHADEVILLE",39.86,-83.03,3951600,831800
202303,176783,1074111,2,2.83,"ESE","GROVE CITY",39.867,-83.0295,3952020,831770
202303,176783,1074111,3,2.87,"NNW","SHADEVILLE",39.8669,-83.025,3952014,831500
202303,176783,1074111,4,2.52,"NNW","SHADEVILLE",39.8608,-83.0255,3951648,831530
202303,176783,1074112,1,2.14,"WNW","NEWPORT",39.8453,-83.5052,3950718,8330312
202303,176783,1074112,2,2.81,"E","NEWPORT",39.8377,-83.418,3950262,8325080
202303,176783,1074112,3,1.65,"ESE","LAFAYETTE",39.9177,-83.3734,3955062,8322404
202303,176783,1074112,4,.79,"SSW","SUMMERFORD",39.9189,-83.5035,3955134,8330210
202303,176783,1074114,1,.62,"SSW","LAKEVIEW VAN HORN AR",40.4916,-83.9239,4029496,8355434
202303,176783,1074114,2,.7,"SSW","LAKEVIEW VAN HORN AR",40.4903,-83.924,4029418,8355440
202303,176783,1074114,3,.66,"S","LAKEVIEW VAN HORN AR",40.4905,-83.9217,4029430,8355302
202303,176783,1074114,4,.57,"S","LAKEVIEW VAN HORN AR",40.4918,-83.9215,4029508,8355290
202303,176783,1074115,1,.87,"SE","MEDWAY",39.87,-83.99,3952200,8359400
202303,176783,1074115,2,.84,"S","MEDWAY",39.868,-83.9978,3952080,8359868
202303,176783,1074115,3,.39,"E","CRYSTAL LAKES",39.8802,-84.0126,3952812,84756
202303,176783,1074115,4,.47,"NW","MEDWAY",39.885,-84.0061,3953100,84366
202303,176783,1074115,5,.77,"ESE","MEDWAY",39.877,-83.986,3952620,8359160
202303,176783,1074118,1,2.34,"ENE","NICHOLSVILLE",38.959,-84.128,3857540,847680
202303,176783,1074118,2,1.75,"W","BETHEL",38.9731,-84.1123,3858386,846738
202303,176783,1074119,1,1.36,"SW","PRICETOWN",39.1159,-83.8178,396954,8349068
202303,176783,1074119,2,2.3,"WSW","CAREYTOWN",39.285,-83.6683,3917100,8340098
202303,176783,1074120,1,1.74,"N","WILLETTVILLE",39.2751,-83.7166,3916506,8342996
202303,176783,1074120,2,2.6,"NNE","WILLETTVILLE",39.2866,-83.7088,3917196,8342528
202303,176783,1074124,1,1.75,"ESE","WILLIAMSBURG",39.04,-84.02,392400,841200
202303,176783,1074125,1,1.28,"ENE","CROSSTOWN",39.09,-83.98,395400,8358800
202303,176783,1074126,1,.87,"SW","ST MARTIN",39.21,-83.89,3912600,8353400
202303,176783,1074132,1,3.25,"SW","MOORESVILLE",39.3037,-82.9203,3918222,8255218
202303,176783,1074896,1,.5,"N","CROSSWICK",39.5372,-84.0796,3932232,844776
202303,176783,1074896,2,1.44,"NNW","CROSSWICK",39.5475,-84.0946,3932850,845676
202303,176783,1074896,3,1.21,"WNW","CROSSWICK",39.5388,-84.0996,3932328,845976
